Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
53,Calvin Booth\boothca01,C,32,SAC,7,55,10.9,.592,.000,.800,8.4,12.8,10.6,0.0,0.9,2.7,6.9,11.8,,0.1,0.0,0.1,.099,,-3.2,-1.8,-5.1,0.0
54,Carlos Boozer\boozeca01,PF,27,UTA,37,1197,17.2,.523,.000,.271,11.1,27.3,19.2,11.4,1.7,0.5,12.1,24.4,,0.9,1.7,2.6,.105,,0.0,-0.5,-0.6,0.4
55,Chris Bosh*\boshch01,C,24,TOR,77,2928,22.1,.569,.039,.489,8.7,22.1,15.5,11.6,1.2,2.0,10.2,26.9,,6.6,3.1,9.7,.159,,3.0,-0.4,2.7,3.5
56,Bruce Bowen\bowenbr01,SF,37,SAS,80,1506,5.4,.539,.524,.139,1.3,10.1,5.7,3.7,1.3,0.6,11.2,7.2,,0.3,1.9,2.2,.070,,-4.0,1.7,-2.3,-0.1
57,Ryan Bowen\bowenry01,SF,33,NOH,21,219,10.8,.585,.000,.132,5.5,7.7,6.6,6.5,3.5,1.9,11.1,9.9,,0.2,0.3,0.6,.125,,-3.7,3.0,-0.7,0.1
58,Elton Brand\brandel01,PF,29,PHI,29,920,14.6,.484,.000,.296,9.9,23.2,16.5,6.9,1.0,3.9,14.2,23.8,,-0.4,1.3,0.9,.047,,-2.0,0.2,-1.9,0.0
59,Corey Brewer\breweco01,SF,22,MIN,15,307,11.2,.473,.133,.211,6.6,12.3,9.3,12.9,2.6,0.8,11.7,16.3,,0.1,0.3,0.3,.052,,-2.7,1.2,-1.5,0.0
60,Ronnie Brewer\brewero02,SF,23,UTA,81,2605,16.1,.565,.103,.425,4.6,9.1,6.9,10.9,2.7,0.9,10.1,18.8,,3.9,2.9,6.8,.126,,0.5,1.0,1.5,2.3
61,Aaron Brooks\brookaa01,PG,24,HOU,80,1998,12.9,.521,.395,.220,2.0,7.0,4.6,20.2,1.2,0.3,12.7,22.9,,1.4,2.2,3.6,.086,,-0.3,-0.6,-0.9,0.6
62,Andre Brown\brownan01,PF,27,CHA,4,41,-1.5,.254,.000,.286,21.3,15.0,18.1,3.5,1.3,0.0,38.8,14.8,,-0.2,0.0,-0.1,-0.122,,-11.2,-2.9,-14.2,-0.1
63,Bobby Brown\brownbo02,SG-PG,24,TOT,68,931,8.9,.476,.361,.119,1.7,4.8,3.3,20.9,1.2,0.2,14.3,21.3,,-0.5,-0.1,-0.6,-0.029,,-2.2,-2.8,-5.0,-0.7
63,Bobby Brown\brownbo02,SG,24,SAC,47,675,7.7,.468,.381,.138,1.4,4.9,3.1,21.1,1.1,0.1,15.2,20.5,,-0.5,-0.2,-0.7,-0.047,,-2.9,-3.2,-6.1,-0.7
63,Bobby Brown\brownbo02,PG,24,MIN,21,256,11.9,.496,.319,.080,2.6,4.8,3.7,20.5,1.2,0.6,12.0,23.4,,0.0,0.1,0.1,.017,,-0.4,-1.8,-2.2,0.0
64,Dee Brown\brownde03,PG,24,TOT,19,261,6.6,.449,.490,.102,3.1,10.1,6.5,19.8,2.0,0.0,24.9,11.8,,-0.2,0.1,-0.1,-0.018,,-4.8,-0.3,-5.1,-0.2
64,Dee Brown\brownde03,PG,24,WAS,17,233,7.8,.452,.455,.068,3.4,10.9,7.1,20.6,2.3,0.0,23.6,11.6,,-0.1,0.1,0.0,-0.006,,-4.3,0.0,-4.3,-0.1
64,Dee Brown\brownde03,PG,24,PHO,2,28,-2.9,.425,.800,.400,0.0,4.0,2.1,13.1,0.0,0.0,33.8,14.0,,-0.1,0.0,-0.1,-0.116,,-8.7,-3.1,-11.8,-0.1
65,Devin Brown\brownde02,SG,30,NOH,63,869,9.7,.459,.310,.319,4.3,12.2,8.3,10.2,2.0,0.5,13.1,22.8,,-0.8,1.0,0.1,.007,,-3.5,-0.7,-4.3,-0.5
66,Kwame Brown\brownkw01,C,26,DET,58,999,11.5,.546,.000,.722,10.7,24.0,17.2,4.9,1.3,1.9,18.3,13.0,,0.5,1.4,1.9,.093,,-3.1,0.6,-2.5,-0.1
67,Shannon Brown\brownsh01,SG,23,TOT,48,477,12.9,.554,.224,.236,2.8,8.1,5.5,13.7,2.5,1.2,17.3,21.4,,0.1,0.6,0.7,.067,,-1.0,0.9,-0.2,0.2
67,Shannon Brown\brownsh01,SG,23,CHA,30,341,12.1,.529,.228,.244,2.9,5.8,4.4,14.8,2.9,1.2,17.6,22.9,,-0.1,0.4,0.3,.041,,-1.8,1.1,-0.7,0.1
67,Shannon Brown\brownsh01,SG,23,LAL,18,136,15.0,.631,.214,.214,2.5,13.9,8.3,10.9,1.5,1.1,16.4,17.8,,0.2,0.2,0.4,.131,,0.8,0.4,1.2,0.1
68,Kobe Bryant*\bryanko01,SG,30,LAL,82,2960,24.4,.561,.196,.329,3.5,12.8,8.2,23.8,2.1,1.0,9.7,32.2,,8.6,4.0,12.7,.206,,5.6,0.3,5.9,5.9
69,Greg Buckner\buckngr01,SF,32,MEM,63,878,6.3,.456,.321,.157,4.4,13.9,9.1,9.9,1.8,0.7,18.3,11.1,,-0.4,0.7,0.3,.019,,-4.4,0.4,-4.0,-0.4
70,Caron Butler\butleca01,SG,28,WAS,67,2585,18.8,.552,.194,.371,5.2,13.8,9.4,19.7,2.2,0.6,14.3,25.9,,3.4,1.1,4.5,.083,,2.0,-1.1,0.9,1.9
71,Rasual Butler\butlera01,SF,29,NOH,82,2614,11.8,.541,.447,.137,2.3,10.2,6.3,4.8,1.1,2.0,6.5,16.8,,2.2,2.4,4.6,.084,,0.0,-0.5,-0.5,1.0
72,Andrew Bynum\bynuman01,C,21,LAL,50,1446,20.0,.598,.000,.428,10.8,20.1,15.6,7.7,0.6,4.8,12.5,20.7,,3.2,2.3,5.5,.184,,0.8,0.3,1.1,1.1
73,Will Bynum\bynumwi01,PG,26,DET,57,803,17.4,.520,.056,.348,2.8,8.4,5.5,35.3,2.3,0.2,16.2,27.9,,0.5,0.8,1.3,.078,,0.4,-0.3,0.1,0.4
74,José Calderón\caldejo01,PG,27,TOR,68,2333,18.8,.613,.314,.239,0.8,8.9,4.9,41.0,1.7,0.2,16.7,16.9,,6.2,1.3,7.5,.154,,3.2,-0.4,2.8,2.8
75,Marcus Camby\cambyma01,C,34,LAC,62,1925,18.7,.556,.008,.367,9.4,32.7,20.7,10.8,1.4,5.1,13.9,15.8,,2.3,2.9,5.2,.129,,0.4,1.8,2.2,2.0
76,Brian Cardinal\cardibr01,PF,31,MIN,64,909,8.1,.515,.544,.207,4.8,13.8,9.1,12.3,2.1,1.1,20.7,11.5,,0.1,0.7,0.9,.045,,-3.6,1.2,-2.4,-0.1
77,Rodney Carney\carnero01,SG,24,MIN,67,1199,12.1,.532,.534,.156,3.4,9.1,6.1,3.6,2.0,1.9,8.7,18.6,,0.7,0.8,1.5,.059,,-0.4,-0.4,-0.8,0.3
78,Matt Carroll\carroma01,SG,28,TOT,55,616,5.5,.451,.310,.146,1.4,12.2,6.8,7.2,1.8,0.8,15.3,16.4,,-0.8,0.7,-0.1,-0.008,,-5.3,0.5,-4.8,-0.4
78,Matt Carroll\carroma01,SG,28,CHA,34,475,7.0,.475,.326,.138,1.3,12.9,7.2,8.4,2.1,0.9,15.1,17.1,,-0.5,0.6,0.1,.015,,-4.5,1.3,-3.3,-0.2
78,Matt Carroll\carroma01,SG,28,DAL,21,141,0.5,.351,.242,.182,1.6,9.7,5.7,2.9,1.1,0.5,16.4,13.9,,-0.3,0.1,-0.2,-0.084,,-7.9,-2.0,-9.9,-0.3
